case_text,administrative,criminal,civil,constitutional,family,commercial
Custody battle between Chen and Anjali in Bangkok family court.,0,0,0,0,1,0
Startup Novartis sues ex-employee John for leaking trade secrets. Government hiring procedure disputed by Anushka from Rome.,1,0,0,0,0,1
Custody battle between Monika and Ayesha in Mumbai family court.,0,0,0,0,1,0
Startup Walmart sues ex-employee Sukesh for leaking trade secrets.,0,0,0,0,0,1
Arpita files lawsuit against Jatin for breach of partnership terms.,0,0,0,0,0,1
Citizens in Rome protest changes in election laws. Mr. Jyotir challenges the new municipal tax regulation in Vishakhapatnam.,1,0,0,1,0,0
Shivam and Sukesh file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Property ownership between Anushree and Ayesha contested in Dubai court. Startup Disney sues ex-employee Gukesh for leaking trade secrets.,0,0,1,0,0,1
Tanmay files lawsuit against Chen for breach of partnership terms.,0,0,0,0,0,1
David sues Anjali over sudden rental agreement termination.,0,0,1,0,0,0
Citizens in Berlin protest changes in election laws. Government hiring procedure disputed by Anushree from Dehradun.,1,0,0,1,0,0
Government hiring procedure disputed by Sara from Brussels.,1,0,0,0,0,0
Sudhir and Piyush file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Petition filed by Jatin regarding violation of free speech rights. Government hiring procedure disputed by Titiksha from Berlin.,1,0,0,1,0,0
Startup Intel Corporation sues ex-employee Anjali for leaking trade secrets. Government hiring procedure disputed by Rakesh from Abu Dhabi.,1,0,0,0,0,1
Shubham and Titiksha file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Custody battle between Arpita and Amit in Brussels family court.,0,0,0,0,1,0
Chen sues Mahesh over sudden rental agreement termination.,0,0,1,0,0,0
Anjali sues Gukesh over sudden rental agreement termination.,0,0,1,0,0,0
Custody battle between Monika and Sukesh in Kashmir family court.,0,0,0,0,1,0
Citizens in Seoul protest changes in election laws.,0,0,0,1,0,0
Shubham and Anshika file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Jyotir files lawsuit against David for breach of partnership terms. Government hiring procedure disputed by Shouryan from Pune.,1,0,0,0,0,1
Mr. Sukesh challenges the new municipal tax regulation in Kerela.,1,0,0,0,0,0
Petition filed by Sukesh regarding violation of free speech rights.,0,0,0,1,0,0
Custody battle between Aditya and Mahesh in São Paulo family court.,0,0,0,0,1,0
Citizens in Berlin protest changes in election laws. Mr. Aaradhya challenges the new municipal tax regulation in Jakarta.,1,0,0,1,0,0
Mohit and Rohit file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Mahesh and Chen file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Custody battle between Shubham and Anjali in Manchester family court.,0,0,0,0,1,0
Petition filed by David regarding violation of free speech rights.,0,0,0,1,0,0
Startup Shell sues ex-employee Titiksha for leaking trade secrets.,0,0,0,0,0,1
Property ownership between Mukti and Himanshi contested in Berlin court. David files lawsuit against Chen for breach of partnership terms.,0,0,1,0,0,1
Startup Starbucks sues ex-employee Shubham for leaking trade secrets.,0,0,0,0,0,1
Police arrest Shubham in Chennai for organized financial fraud.,0,1,0,0,0,0
Fatima and Raj file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Mohit files lawsuit against Ayesha for breach of partnership terms. Mr. Chen challenges the new municipal tax regulation in Goa.,1,0,0,0,0,1
Police arrest Fatima in Barcelona for organized financial fraud.,0,1,0,0,0,0
Citizens in Istanbul protest changes in election laws.,0,0,0,1,0,0
Startup T-Mobile sues ex-employee Kartikey for leaking trade secrets.,0,0,0,0,0,1
Government hiring procedure disputed by Jyotir from Johannesburg.,1,0,0,0,0,0
Ramesh sues Ayesha over sudden rental agreement termination.,0,0,1,0,0,0
Fatima files lawsuit against Akshay for breach of partnership terms.,0,0,0,0,0,1
Custody battle between Monika and Sukesh in Osaka family court.,0,0,0,0,1,0
Custody battle between Sunita and Tanmay in Brisbane family court.,0,0,0,0,1,0
Police arrest Sara in Berlin for organized financial fraud.,0,1,0,0,0,0
Jatin is charged with theft at Moscow mall.,0,1,0,0,0,0
Petition filed by Aaradhya regarding violation of free speech rights. Government hiring procedure disputed by Sunita from Jammu.,1,0,0,1,0,0
Shouryan is charged with theft at Kuala Lumpur mall.,0,1,0,0,0,0
Sara sues Mahesh over sudden rental agreement termination.,0,0,1,0,0,0
Mr. Amit challenges the new municipal tax regulation in Dubai.,1,0,0,0,0,0
Startup Roche sues ex-employee Rakesh for leaking trade secrets. Mr. Tanmay challenges the new municipal tax regulation in Lima.,1,0,0,0,0,1
Piyush and Himanshi file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Shivam is charged with theft at Buenos Aires mall.,0,1,0,0,0,0
Property ownership between Ramesh and Shouryan contested in Dehradun court. Mohit files lawsuit against Amit for breach of partnership terms.,0,0,1,0,0,1
Mr. Ramesh challenges the new municipal tax regulation in Shanghai.,1,0,0,0,0,0
Police arrest Mohit in Paris for organized financial fraud.,0,1,0,0,0,0
Police arrest Piyush in Manchester for organized financial fraud.,0,1,0,0,0,0
Piyush is charged with theft at London mall. Citizens in Melbourne protest changes in election laws.,0,1,0,1,0,0
Aaradhya sues Salman over sudden rental agreement termination. Anjali files lawsuit against Kartikey for breach of partnership terms.,0,0,1,0,0,1
Startup PepsiCo sues ex-employee Mukti for leaking trade secrets.,0,0,0,0,0,1
Property ownership between Kartikey and Anushka contested in Beijing court.,0,0,1,0,0,0
Government hiring procedure disputed by Himanshi from Singapore.,1,0,0,0,0,0
Tanmay is charged with theft at Pune mall. Citizens in Dubai protest changes in election laws.,0,1,0,1,0,0
Police arrest Sukesh in Johannesburg for organized financial fraud.,0,1,0,0,0,0
Mr. Rohit challenges the new municipal tax regulation in Chennai.,1,0,0,0,0,0
Chen and Monika file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Akshay sues Omar over sudden rental agreement termination.,0,0,1,0,0,0
Petition filed by Arpita regarding violation of free speech rights. Mr. Sudhir challenges the new municipal tax regulation in Istanbul.,1,0,0,1,0,0
Citizens in Riyadh protest changes in election laws.,0,0,0,1,0,0
Police arrest Fatima in Abu Dhabi for organized financial fraud. Citizens in Kerela protest changes in election laws.,0,1,0,1,0,0
Mahesh files lawsuit against Sara for breach of partnership terms.,0,0,0,0,0,1
Kunal and Ramesh file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Amit files lawsuit against Piyush for breach of partnership terms.,0,0,0,0,0,1
Harvijay sues Rohit over sudden rental agreement termination. Custody battle between Priya and Sunita in Buenos Aires family court.,0,0,1,0,1,0
Citizens in Jakarta protest changes in election laws.,0,0,0,1,0,0
Akshay and Utkarsh file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Custody battle between Sara and Jyotir in Tokyo family court.,0,0,0,0,1,0
Police arrest Monika in Goa for organized financial fraud.,0,1,0,0,0,0
kshitij sues Yash over sudden rental agreement termination. Custody battle between Sudhir and Chen in Chennai family court.,0,0,1,0,1,0
Arpita is charged with theft at Doha mall. Citizens in Dehradun protest changes in election laws.,0,1,0,1,0,0
Police arrest Chen in Abu Dhabi for organized financial fraud. Petition filed by Rohit regarding violation of free speech rights.,0,1,0,1,0,0
Petition filed by Amit regarding violation of free speech rights.,0,0,0,1,0,0
Mr. Himanshi challenges the new municipal tax regulation in Sydney.,1,0,0,0,0,0
Salman is charged with theft at Riyadh mall.,0,1,0,0,0,0
kshitij sues Sara over sudden rental agreement termination.,0,0,1,0,0,0
Government hiring procedure disputed by Rohit from Barcelona.,1,0,0,0,0,0
Anushka is charged with theft at Shanghai mall.,0,1,0,0,0,0
Government hiring procedure disputed by Jatin from São Paulo.,1,0,0,0,0,0
Simran sues Shivam over sudden rental agreement termination.,0,0,1,0,0,0
Mr. Anjali challenges the new municipal tax regulation in Jammu.,1,0,0,0,0,0
Citizens in Kerela protest changes in election laws.,0,0,0,1,0,0
Omar files lawsuit against Sukesh for breach of partnership terms.,0,0,0,0,0,1
Property ownership between Omar and Salman contested in Amsterdam court. Jatin files lawsuit against John for breach of partnership terms.,0,0,1,0,0,1
Kartikey is charged with theft at Singapore mall. Citizens in Moscow protest changes in election laws.,0,1,0,1,0,0
Custody battle between Kunal and Simran in Brussels family court.,0,0,0,0,1,0
Shouryan and Anushka file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Property ownership between Tanmay and Mohit contested in Manchester court.,0,0,1,0,0,0
Amit sues Jyotir over sudden rental agreement termination. Priya and Amit file for divorce citing irreconcilable differences.,0,0,1,0,1,0
Police arrest Kunal in Singapore for organized financial fraud.,0,1,0,0,0,0
Anshika sues Ayesha over sudden rental agreement termination. Piyush files lawsuit against Shivam for breach of partnership terms.,0,0,1,0,0,1
Priya files lawsuit against Simran for breach of partnership terms.,0,0,0,0,0,1
Startup Ford sues ex-employee Sara for leaking trade secrets. Government hiring procedure disputed by Sudhir from Cape Town.,1,0,0,0,0,1
Petition filed by Sara regarding violation of free speech rights. Mr. Anshika challenges the new municipal tax regulation in Moscow.,1,0,0,1,0,0
Government hiring procedure disputed by Priya from Istanbul.,1,0,0,0,0,0
Simran sues Raj over sudden rental agreement termination.,0,0,1,0,0,0
Custody battle between David and Utkarsh in Jammu family court.,0,0,0,0,1,0
Kartikey and Monika file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Property ownership between Ayesha and Utkarsh contested in Mexico City court. Custody battle between Aaradhya and Ramesh in Abu Dhabi family court.,0,0,1,0,1,0
Custody battle between Utkarsh and Sunita in Kuala Lumpur family court.,0,0,0,0,1,0
Citizens in Mumbai protest changes in election laws.,0,0,0,1,0,0
kshitij files lawsuit against Prashant for breach of partnership terms.,0,0,0,0,0,1
Property ownership between Amit and Himanshi contested in Madrid court. Utkarsh files lawsuit against Anushka for breach of partnership terms.,0,0,1,0,0,1
Citizens in Berlin protest changes in election laws. Mr. Aman challenges the new municipal tax regulation in Cape Town.,1,0,0,1,0,0
Startup Samsung Electronics sues ex-employee Aaradhya for leaking trade secrets.,0,0,0,0,0,1
Petition filed by Shouryan regarding violation of free speech rights.,0,0,0,1,0,0
Petition filed by Amit regarding violation of free speech rights.,0,0,0,1,0,0
Citizens in Shanghai protest changes in election laws. Government hiring procedure disputed by kshitij from Madrid.,1,0,0,1,0,0
Citizens in Moscow protest changes in election laws.,0,0,0,1,0,0
Petition filed by Himanshi regarding violation of free speech rights.,0,0,0,1,0,0
Startup Chevron sues ex-employee David for leaking trade secrets.,0,0,0,0,0,1
Citizens in Brussels protest changes in election laws.,0,0,0,1,0,0
Property ownership between Aditya and Sudhir contested in Pune court.,0,0,1,0,0,0
Custody battle between Sara and John in Doha family court.,0,0,0,0,1,0
Startup McDonald's sues ex-employee Gukesh for leaking trade secrets. Mr. Anushree challenges the new municipal tax regulation in Brisbane.,1,0,0,0,0,1
Police arrest Yash in Shanghai for organized financial fraud. Petition filed by Kartikey regarding violation of free speech rights.,0,1,0,1,0,0
Petition filed by Fatima regarding violation of free speech rights. Government hiring procedure disputed by Piyush from Manila.,1,0,0,1,0,0
Gukesh files lawsuit against Titiksha for breach of partnership terms.,0,0,0,0,0,1
Citizens in Barcelona protest changes in election laws. Mr. Sukesh challenges the new municipal tax regulation in Buenos Aires.,1,0,0,1,0,0
Property ownership between Mohit and Kartikey contested in Berlin court.,0,0,1,0,0,0
Mr. Anushree challenges the new municipal tax regulation in Bangkok.,1,0,0,0,0,0
Fatima sues Sunita over sudden rental agreement termination. Custody battle between Anjali and Tanmay in Abu Dhabi family court.,0,0,1,0,1,0
Startup Google sues ex-employee Kartikey for leaking trade secrets. Government hiring procedure disputed by Tanmay from Mumbai.,1,0,0,0,0,1
Mr. Himanshi challenges the new municipal tax regulation in Jammu.,1,0,0,0,0,0
Government hiring procedure disputed by Aditya from Seoul.,1,0,0,0,0,0
Custody battle between Shouryan and Sunita in Seoul family court.,0,0,0,0,1,0
Police arrest Harvijay in Amsterdam for organized financial fraud.,0,1,0,0,0,0
Aaradhya and Simran file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Government hiring procedure disputed by John from Rome.,1,0,0,0,0,0
Startup Wipro sues ex-employee Piyush for leaking trade secrets. Government hiring procedure disputed by Gukesh from Doha.,1,0,0,0,0,1
Citizens in Jakarta protest changes in election laws.,0,0,0,1,0,0
Startup Morgan Stanley sues ex-employee Chen for leaking trade secrets.,0,0,0,0,0,1
Citizens in Mumbai protest changes in election laws.,0,0,0,1,0,0
Citizens in Mumbai protest changes in election laws.,0,0,0,1,0,0
Citizens in Jammu protest changes in election laws.,0,0,0,1,0,0
Yash files lawsuit against Anushree for breach of partnership terms.,0,0,0,0,0,1
Property ownership between Tanmay and Kartikey contested in Abu Dhabi court.,0,0,1,0,0,0
Omar sues Jatin over sudden rental agreement termination. Custody battle between Mukti and Jatin in Johannesburg family court.,0,0,1,0,1,0
Police arrest Ayesha in Doha for organized financial fraud.,0,1,0,0,0,0
Police arrest Tanmay in Dubai for organized financial fraud.,0,1,0,0,0,0
Prashant and Sara file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Mr. Omar challenges the new municipal tax regulation in Bnaglore.,1,0,0,0,0,0
Startup Sun Pharma sues ex-employee Tanmay for leaking trade secrets.,0,0,0,0,0,1
Property ownership between Raj and Mahesh contested in Riyadh court. Arpita files lawsuit against Rohit for breach of partnership terms.,0,0,1,0,0,1
Mr. Omar challenges the new municipal tax regulation in Chennai.,1,0,0,0,0,0
Titiksha sues Mukti over sudden rental agreement termination.,0,0,1,0,0,0
Government hiring procedure disputed by David from Mexico City.,1,0,0,0,0,0
Omar and Kunal file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Mr. Yash challenges the new municipal tax regulation in Seoul.,1,0,0,0,0,0
Petition filed by Harvijay regarding violation of free speech rights.,0,0,0,1,0,0
Petition filed by Ramesh regarding violation of free speech rights.,0,0,0,1,0,0
Property ownership between Sukesh and Anjali contested in Dubai court. Custody battle between Anshika and Kunal in Lima family court.,0,0,1,0,1,0
Police arrest Shivam in Vishakhapatnam for organized financial fraud.,0,1,0,0,0,0
Sudhir files lawsuit against Sudhir for breach of partnership terms. Mr. Piyush challenges the new municipal tax regulation in Manchester.,1,0,0,0,0,1
David and Jatin file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Police arrest Piyush in New York for organized financial fraud.,0,1,0,0,0,0
Mr. Aditya challenges the new municipal tax regulation in Moscow.,1,0,0,0,0,0
Property ownership between Raj and Amit contested in São Paulo court.,0,0,1,0,0,0
Petition filed by Mukti regarding violation of free speech rights.,0,0,0,1,0,0
Citizens in Doha protest changes in election laws.,0,0,0,1,0,0
Citizens in Kuala Lumpur protest changes in election laws.,0,0,0,1,0,0
Government hiring procedure disputed by Harvijay from Vishakhapatnam.,1,0,0,0,0,0
Property ownership between Kartikey and Harvijay contested in Brussels court.,0,0,1,0,0,0
Citizens in Chennai protest changes in election laws.,0,0,0,1,0,0
Harvijay and Utkarsh file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Startup TCS sues ex-employee Tanmay for leaking trade secrets.,0,0,0,0,0,1
Police arrest Shubham in Kashmir for organized financial fraud.,0,1,0,0,0,0
Akshay sues Gukesh over sudden rental agreement termination. Custody battle between Himanshi and Tanmay in Goa family court.,0,0,1,0,1,0
Petition filed by Arpita regarding violation of free speech rights. Mr. Piyush challenges the new municipal tax regulation in Dubai.,1,0,0,1,0,0
Mr. Rakesh challenges the new municipal tax regulation in Cairo.,1,0,0,0,0,0
Custody battle between Aaradhya and Harvijay in Shanghai family court.,0,0,0,0,1,0
Citizens in Mumbai protest changes in election laws. Mr. Ramesh challenges the new municipal tax regulation in Amsterdam.,1,0,0,1,0,0
Property ownership between Raj and Rakesh contested in Mexico City court. Shubham and Raj file for divorce citing irreconcilable differences.,0,0,1,0,1,0
Police arrest Ayesha in Brussels for organized financial fraud.,0,1,0,0,0,0
Rohit sues Jatin over sudden rental agreement termination.,0,0,1,0,0,0
Government hiring procedure disputed by Jatin from Sydney.,1,0,0,0,0,0
Mahesh and Ramesh file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Custody battle between Sukesh and Chen in Chennai family court.,0,0,0,0,1,0
Kunal is charged with theft at Pune mall.,0,1,0,0,0,0
Sunita sues Harvijay over sudden rental agreement termination.,0,0,1,0,0,0
Shouryan sues Arpita over sudden rental agreement termination. Raj files lawsuit against Salman for breach of partnership terms.,0,0,1,0,0,1
Aaradhya is charged with theft at Barcelona mall. Petition filed by Anjali regarding violation of free speech rights.,0,1,0,1,0,0
Citizens in Paris protest changes in election laws.,0,0,0,1,0,0
Chen is charged with theft at Seoul mall.,0,1,0,0,0,0
Citizens in Sydney protest changes in election laws. Mr. Ramesh challenges the new municipal tax regulation in Paris.,1,0,0,1,0,0
Shouryan is charged with theft at Bangkok mall.,0,1,0,0,0,0
Shouryan sues Jatin over sudden rental agreement termination.,0,0,1,0,0,0
Petition filed by Titiksha regarding violation of free speech rights. Mr. Omar challenges the new municipal tax regulation in Amsterdam.,1,0,0,1,0,0
Omar sues Anshika over sudden rental agreement termination. Himanshi and Piyush file for divorce citing irreconcilable differences.,0,0,1,0,1,0
Shubham sues Kartikey over sudden rental agreement termination. Chen files lawsuit against Rakesh for breach of partnership terms.,0,0,1,0,0,1
Mr. Gukesh challenges the new municipal tax regulation in Bnaglore.,1,0,0,0,0,0
Custody battle between Arpita and Amit in Cape Town family court.,0,0,0,0,1,0
Property ownership between Priya and Piyush contested in Bnaglore court. Priya and Chen file for divorce citing irreconcilable differences.,0,0,1,0,1,0
Sara sues Ayesha over sudden rental agreement termination. Prashant files lawsuit against Mukti for breach of partnership terms.,0,0,1,0,0,1
Salman is charged with theft at Kuala Lumpur mall.,0,1,0,0,0,0
Petition filed by Raj regarding violation of free speech rights.,0,0,0,1,0,0
Aaradhya is charged with theft at Tokyo mall.,0,1,0,0,0,0
Custody battle between Sara and Tanmay in Madrid family court.,0,0,0,0,1,0
Property ownership between John and Aditya contested in Moscow court.,0,0,1,0,0,0
Government hiring procedure disputed by Akshay from Madrid.,1,0,0,0,0,0
Priya files lawsuit against Ramesh for breach of partnership terms. Government hiring procedure disputed by Mukti from Doha.,1,0,0,0,0,1
Mr. Sara challenges the new municipal tax regulation in Kerela.,1,0,0,0,0,0
Startup Infosys sues ex-employee Aditya for leaking trade secrets.,0,0,0,0,0,1
Sudhir sues Jatin over sudden rental agreement termination. Aditya files lawsuit against Sara for breach of partnership terms.,0,0,1,0,0,1
Custody battle between Shubham and Omar in Madrid family court.,0,0,0,0,1,0
Salman and Ramesh file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Petition filed by kshitij regarding violation of free speech rights.,0,0,0,1,0,0
Citizens in Tokyo protest changes in election laws. Government hiring procedure disputed by Mahesh from Moscow.,1,0,0,1,0,0
Petition filed by Aditya regarding violation of free speech rights.,0,0,0,1,0,0
Property ownership between Aaradhya and Piyush contested in Bangkok court. Startup Meta Platforms sues ex-employee Raj for leaking trade secrets.,0,0,1,0,0,1
Mr. Aaradhya challenges the new municipal tax regulation in Abu Dhabi.,1,0,0,0,0,0
Priya files lawsuit against Simran for breach of partnership terms.,0,0,0,0,0,1
Police arrest Monika in Kerela for organized financial fraud.,0,1,0,0,0,0
Police arrest Sara in Manila for organized financial fraud.,0,1,0,0,0,0
Property ownership between Anjali and Mukti contested in Bnaglore court.,0,0,1,0,0,0
Shivam and Ramesh file for divorce citing irreconcilable differences.,0,0,0,0,1,0
David is charged with theft at New York mall.,0,1,0,0,0,0
Arpita is charged with theft at Istanbul mall. Petition filed by Chen regarding violation of free speech rights.,0,1,0,1,0,0
Citizens in Paris protest changes in election laws.,0,0,0,1,0,0
Custody battle between John and Sudhir in Brussels family court.,0,0,0,0,1,0
Himanshi sues Shivam over sudden rental agreement termination.,0,0,1,0,0,0
Citizens in Shanghai protest changes in election laws. Mr. Monika challenges the new municipal tax regulation in Abu Dhabi.,1,0,0,1,0,0
Custody battle between Sunita and Anjali in Jammu family court.,0,0,0,0,1,0
Police arrest Titiksha in Madrid for organized financial fraud. Citizens in Vishakhapatnam protest changes in election laws.,0,1,0,1,0,0
Anjali files lawsuit against Priya for breach of partnership terms.,0,0,0,0,0,1
Police arrest Anushree in Brussels for organized financial fraud.,0,1,0,0,0,0
Government hiring procedure disputed by Gukesh from New York.,1,0,0,0,0,0
Property ownership between Mukti and Monika contested in Manila court.,0,0,1,0,0,0
Citizens in Paris protest changes in election laws.,0,0,0,1,0,0
Mahesh sues Anshika over sudden rental agreement termination.,0,0,1,0,0,0
Citizens in Kuala Lumpur protest changes in election laws.,0,0,0,1,0,0
Citizens in Istanbul protest changes in election laws. Government hiring procedure disputed by Mukti from Shanghai.,1,0,0,1,0,0
Government hiring procedure disputed by Gukesh from Abu Dhabi.,1,0,0,0,0,0
Utkarsh is charged with theft at Manila mall. Petition filed by Harvijay regarding violation of free speech rights.,0,1,0,1,0,0
Citizens in Rome protest changes in election laws. Government hiring procedure disputed by John from Delhi.,1,0,0,1,0,0
Property ownership between Jatin and Shivam contested in Shanghai court.,0,0,1,0,0,0
Property ownership between Monika and Kartikey contested in Cairo court.,0,0,1,0,0,0
Anjali and Aditya file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Custody battle between Aaradhya and Harvijay in Manila family court.,0,0,0,0,1,0
Property ownership between Rohit and Monika contested in Goa court.,0,0,1,0,0,0
Petition filed by Omar regarding violation of free speech rights.,0,0,0,1,0,0
Police arrest Sunita in Shanghai for organized financial fraud.,0,1,0,0,0,0
Custody battle between Simran and Aditya in Bnaglore family court.,0,0,0,0,1,0
Startup General Motors sues ex-employee Mohit for leaking trade secrets.,0,0,0,0,0,1
Mahesh sues Titiksha over sudden rental agreement termination.,0,0,1,0,0,0
Government hiring procedure disputed by Kunal from Buenos Aires.,1,0,0,0,0,0
Startup Bharti Airtel sues ex-employee Sukesh for leaking trade secrets.,0,0,0,0,0,1
Custody battle between Titiksha and Rakesh in Abu Dhabi family court.,0,0,0,0,1,0
Kunal is charged with theft at Bangkok mall. Petition filed by Prashant regarding violation of free speech rights.,0,1,0,1,0,0
Aaradhya sues Jatin over sudden rental agreement termination. Custody battle between Kunal and Arpita in São Paulo family court.,0,0,1,0,1,0
Shubham files lawsuit against Ramesh for breach of partnership terms. Government hiring procedure disputed by Rohit from Doha.,1,0,0,0,0,1
Mr. David challenges the new municipal tax regulation in Shanghai.,1,0,0,0,0,0
Mr. Monika challenges the new municipal tax regulation in Tokyo.,1,0,0,0,0,0
Mr. Jyotir challenges the new municipal tax regulation in Delhi.,1,0,0,0,0,0
Police arrest Sudhir in Kashmir for organized financial fraud. Citizens in Amsterdam protest changes in election laws.,0,1,0,1,0,0
Citizens in Delhi protest changes in election laws.,0,0,0,1,0,0
Chen and Mohit file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Petition filed by Akshay regarding violation of free speech rights. Government hiring procedure disputed by kshitij from Melbourne.,1,0,0,1,0,0
Police arrest Harvijay in Dehradun for organized financial fraud. Petition filed by Monika regarding violation of free speech rights.,0,1,0,1,0,0
Mr. Aditya challenges the new municipal tax regulation in Dubai.,1,0,0,0,0,0
Petition filed by Fatima regarding violation of free speech rights. Mr. Aaradhya challenges the new municipal tax regulation in Mumbai.,1,0,0,1,0,0
Property ownership between Jyotir and Ramesh contested in Moscow court. Tanmay files lawsuit against Ayesha for breach of partnership terms.,0,0,1,0,0,1
Aman is charged with theft at Kashmir mall.,0,1,0,0,0,0
Citizens in Mumbai protest changes in election laws.,0,0,0,1,0,0
Fatima is charged with theft at Brisbane mall.,0,1,0,0,0,0
Mohit files lawsuit against Akshay for breach of partnership terms.,0,0,0,0,0,1
Citizens in New York protest changes in election laws.,0,0,0,1,0,0
Petition filed by Ramesh regarding violation of free speech rights.,0,0,0,1,0,0
Utkarsh is charged with theft at Mexico City mall.,0,1,0,0,0,0
Police arrest Anushka in New York for organized financial fraud.,0,1,0,0,0,0
Kartikey sues Anushree over sudden rental agreement termination.,0,0,1,0,0,0
Petition filed by Anushree regarding violation of free speech rights.,0,0,0,1,0,0
Chen files lawsuit against Rohit for breach of partnership terms.,0,0,0,0,0,1
Salman and Anushka file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Yash is charged with theft at Berlin mall.,0,1,0,0,0,0
Police arrest Priya in Manila for organized financial fraud. Petition filed by Ramesh regarding violation of free speech rights.,0,1,0,1,0,0
Akshay sues Jyotir over sudden rental agreement termination.,0,0,1,0,0,0
Aaradhya is charged with theft at Barcelona mall.,0,1,0,0,0,0
Mr. Fatima challenges the new municipal tax regulation in Vishakhapatnam.,1,0,0,0,0,0
Yash is charged with theft at Cape Town mall. Petition filed by Jyotir regarding violation of free speech rights.,0,1,0,1,0,0
Custody battle between Sara and Mahesh in Jammu family court.,0,0,0,0,1,0
Startup Shell sues ex-employee John for leaking trade secrets.,0,0,0,0,0,1
Shubham sues Anushka over sudden rental agreement termination. Utkarsh and Rakesh file for divorce citing irreconcilable differences.,0,0,1,0,1,0
Petition filed by kshitij regarding violation of free speech rights. Government hiring procedure disputed by Ramesh from Bangkok.,1,0,0,1,0,0
Petition filed by Rohit regarding violation of free speech rights.,0,0,0,1,0,0
Himanshi is charged with theft at Mumbai mall. Citizens in Jakarta protest changes in election laws.,0,1,0,1,0,0
Citizens in Mexico City protest changes in election laws.,0,0,0,1,0,0
Police arrest Anshika in London for organized financial fraud. Petition filed by Anushree regarding violation of free speech rights.,0,1,0,1,0,0
Aditya and Kartikey file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Mr. Utkarsh challenges the new municipal tax regulation in Madrid.,1,0,0,0,0,0
Petition filed by Rakesh regarding violation of free speech rights.,0,0,0,1,0,0
Custody battle between Mukti and Sara in Istanbul family court.,0,0,0,0,1,0
Petition filed by Ramesh regarding violation of free speech rights. Government hiring procedure disputed by Rohit from Doha.,1,0,0,1,0,0
Police arrest David in London for organized financial fraud. Petition filed by Shubham regarding violation of free speech rights.,0,1,0,1,0,0
Sukesh and Fatima file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Mukti files lawsuit against Shubham for breach of partnership terms. Mr. Anushree challenges the new municipal tax regulation in Manila.,1,0,0,0,0,1
Custody battle between Ramesh and David in Riyadh family court.,0,0,0,0,1,0
